2019학년도 1학기 개설 교과목 현황,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
단과대학,개설학과,학년,이수구분,"트랙
이수구분",트랙,학수번호,분반,과목명,학점,담당교수,"수업
구분",강의요일 및 교시,강의실,비고
공과대학,디지털제어공학전공,2,전공과목,,,0ADH2220,1,공업수학I,3,주성준,주간,금1~3,아)1공452-e,
공과대학,디지털제어공학전공,2,전공과목,,,0ADH5036,1,프로그래밍1및실습,2,김수길,주간,월4/수1~2,아)1공428,
공과대학,디지털제어공학전공,2,전공필수,,,0ADH5039,1,회로및시스템I,3,이석원,주간,화3/화5~6,아)1공453-e/아)1공452-e,
공과대학,디지털제어공학전공,3,전공과목,,,0ADH2010,1,전자회로1,3,김수길,주간,화3/화5~6,아)1공452-e/아)1공603-1-e,
공과대학,디지털제어공학전공,3,전공과목,,,0ADH3050,1,신호및시스템,3,주성준,주간,금5~7,아)1공452-e,
공과대학,디지털제어공학전공,3,전공필수,,,0ADH5038,1,자동제어시스템,3,이석원,주간,화1~2/수1,아)1공452-e,
공과대학,디지털제어공학전공,3,전공필수,,,0ADH5040,1,회전기기,3,홍선기,주간,월2~3/화9,아)1공452-e,
공과대학,정보통신공학부,1,전공과목,공통트랙,,0ADC6023,1,ICT공학개론,3,조용갑,주간,월2/월6~7,아)2공216-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학부,1,전공과목,공통트랙,,0ADC6023,2,ICT공학개론,3,조용갑,주간,화3/수2~3,아)2공216-e/아)2공B103-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학부,2,전공과목,공통트랙,,0ADC6025,1,회로이론1,3,임태호,주간,목7/금2~3,아)2공216-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학부,2,전공과목,공통트랙,,0ADC6025,2,회로이론1,3,임태호,주간,목8/금5~6,아)2공216-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학부,2,전공과목,공통트랙,,0ADC6060,1,통신응용수학,3,김계원,주간,화1/금2~3,아)2공216-e/아)2공201-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학부,2,전공과목,공통트랙,,0ADC6060,2,통신응용수학,3,김계원,주간,화5/금5~6,아)2공201-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학부,2,전공과목,공통트랙,,0ADO2062,1,디지털공학,3,진현준,주간,화6/수6~7,아)2공201-e/아)2공216-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학부,2,전공과목,공통트랙,,0ADO2062,2,디지털공학,3,송명렬,주간,화2~3/목3,아)2공201-e/아)2공216-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학부,2,전공과목,공통트랙,,0ADO2063,1,고급프로그래밍,3,조용호,주간,화7~8/목4,아)2공215,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학부,2,전공과목,공통트랙,,0ADO2063,2,고급프로그래밍,3,조용호,주간,수1/목5~6,아)2공215,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학부,3,전공과목,,,0ADO2057,1,전자통신회로,3,김계원,주간,월2~3/수1,아)2공201-e/아)2공216-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학부,3,전공과목,,,0ADO2057,2,전자통신회로,3,김계원,주간,월5~6/수4,아)2공201-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학부,3,전공과목,,,0ADO2058,1,모바일통신,3,고학림,주간,목1~3,아)2공201-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학부,3,전공과목,,,0ADO2058,2,모바일통신,3,김민상,주간,목5~7,아)2공201-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학부,3,전공과목,,,0ADO2059,1,신호및시스템,3,김용관,주간,화2~3/목2,아)2공B103-e/아)2공216-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학부,3,전공과목,,,0ADO2059,2,신호및시스템,3,김민상,주간,수2~3/목8,아)2공508-e/아)2공201-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학전공,4,전공과목,,,0ADC3100,1,안테나공학,3,정백호,주간,화1/수1~2,아)2공201-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학전공,4,전공과목,,,0ADC6020,1,ICT하드웨어설계,3,박인학,주간,화2~3/수4,아)2공215/아)2공216-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,정보통신공학전공,4,전공과목,,,0ADC6020,2,ICT하드웨어설계,3,박인학,주간,화5~6/수3,아)2공215/아)2공216-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,해양IT공학전공,4,전공과목,,,0ADO2071,1,안테나공학,3,정백호,주간,화2/수5~6,아)2공216-e/아)2공201-e,타전공 수강 희망시 학과사무실로 연락 요망
공과대학,해양IT공학전공,4,전공과목,,,0ADO2073,1,임베디드시스템설계,3,박인학,주간,수2/수7~8,아)2공B104-1-e/아)2공215,타전공 수강 희망시 학과사무실로 연락 요망
과학기술융합대학,빅데이터경영공학부,2,전공과목,심화트랙,빅데이터통계트랙,0ABT5020,1,통계수학,3,연규필,주간,월3~4/수2,아)강석402-e/아)강석401-e,
과학기술융합대학,빅데이터경영공학부,3,전공과목,공통트랙,,0ABT5010,1,빅데이터분석,3,김혁,주간,월2~3/수6,아)강석414-e/아)강석402-e,
과학기술융합대학,실내디자인전공,2,전공과목,,,0AEB2680,1,실내계획론Ⅰ,2,정성욱,주간,수1~2,아)예술315,
과학기술융합대학,실내디자인전공,2,전공과목,,,0AEB4805,1,실내디자인사Ⅰ,2,이규황,주간,금1~2,아)예술315,
과학기술융합대학,실내디자인전공,3,전공과목,,,0AEB4807,1,공간재료학,2,,주간,월5~6,아)예술311,
과학기술융합대학,첨단미디어전공,2,전공과목,공통트랙,,0ADD6109,1,3D제작스튜디오1,2,이용수 ,주간,수8~10,아)산학1호312,"첨단, 산업애니, 애니, 게임만 가능"
과학기술융합대학,첨단미디어전공,2,전공과목,공통트랙,,0ADD6109,2,3D제작스튜디오1,2,이용수 ,주간,수1~3,아)산학1호312,"첨단, 산업애니, 애니, 게임만 가능"
과학기술융합대학,첨단미디어전공,2,전공과목,심화트랙,애니메이션트랙,0AEN3270,1,3D애니메이션1,2,박성호,주간,화1~3,아)조형215,"첨단, 산업애니, 애니, 게임만 가능"
과학기술융합대학,첨단미디어전공,2,전공과목,심화트랙,애니메이션트랙,0AEN3270,2,3D애니메이션1,2,박성호,주간,금5~7,아)조형215,"첨단, 산업애니, 애니, 게임만 가능"
과학기술융합대학,첨단미디어전공,2,전공과목,심화트랙,애니메이션트랙,0AEN5023,1,표현기법연구1,2,정은민,주간,수1~3,아)1공249,"첨단, 산업애니, 애니, 게임만 가능"
과학기술융합대학,첨단미디어전공,2,전공과목,심화트랙,애니메이션트랙,0AEN5023,2,표현기법연구1,2,정은민,주간,수5~7,아)1공249,"첨단, 산업애니, 애니, 게임만 가능"
과학기술융합대학,첨단미디어전공,2,전공과목,공통트랙,,0AEQ9152,1,비쥬얼모션&이펙트1,2,박성원,주간,목5~6/목8,아)조형215,"첨단, 산업애니, 애니, 게임만 가능"
과학기술융합대학,첨단미디어전공,2,전공과목,공통트랙,,0AEQ9152,2,비쥬얼모션&이펙트1,2,박성원,주간,월1~3,아)조형215,"첨단, 산업애니, 애니, 게임만 가능"
과학기술융합대학,첨단미디어전공,2,전공과목,심화트랙,애니메이션트랙,0AEN2230,1,애니메이션드로잉,2,설종훈,주간,목1~3,아)1공249,"첨단, 산업애니, 애니, 게임만 가능"
과학기술융합대학,첨단미디어전공,2,전공과목,심화트랙,애니메이션트랙,0AEN2230,2,애니메이션드로잉,2,설종훈,주간,목5~6/목8,아)1공249,"첨단, 산업애니, 애니, 게임만 가능"
과학기술융합대학,첨단미디어전공,3,전공과목,,,0AEN5037,1,3D스컬핑&페인팅,2,김성훈,주간,수8~10,아)조형215,"첨단, 산업애니, 애니, 게임만 가능"
